nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
12690	1271750992	33	996	0x2000ad16	972192	536915222
12720	1271757000	31	915	0x200f7f3b	4294945235	537886523
12750	1271762844	34	693	0x200fb72c	2429	537900844
12780	1271768621	36	811	0x200f9808	5815	537892872
12810	1271774528	91	755	0x200fb725	4294966810	537900837
12840	1271780310	49	667	0x200f91b3	8231	537891251
12870	1271786482	14	995	0x20101e1a	4294943391	537927194
12900	1271792684	96	864	0x1f06a431	17380921	520528945
12930	1271798749	40	967	0x200f9639	4294947945	537892409
12960	1271804893	18	1013	0x200ff849	4294954306	537917513
12990	1271811211	25	1068	0x200f362d	50169	537867821
13020	1271817230	75	935	0x200f1d54	16377	537861460
13050	1271823004	24	626	0x200f7cab	5510	537885867
13080	1271829199	42	811	0x2000e08f	957211	536928399
13110	1271834956	28	644	0x200fdda5	4294870573	537910693
13140	1271841092	56	957	0x200f6b0f	4294951809	537881359
13170	1271847544	91	1006	0x200f44ea	43725	537871594
13200	1271853556	99	772	0x200f6d78	1590	537881976
13230	1271859816	25	1004	0x200ff65a	4294923805	537917018
13260	1271866071	21	1038	0x20103c69	4294887153	537934953
13290	1271871827	14	660	0x200fa8bb	20645	537897147
13320	1271877794	84	1061	0x200f6e9b	7270	537882267
13350	1271884040	45	969	0x200f147c	57294	537859196
13380	1271890157	54	931	0x200feb36	4294930501	537914166
13410	1271896000	12	736	0x200fd793	15391	537909139
13440	1271902161	22	839	0x20100b37	4294848649	537922359
13470	1271908224	54	875	0x20100d5a	4294947190	537922906
13500	1271914488	71	1003	0x201020d4	4294894419	537927892
13530	1271920596	62	980	0x20101fa9	4294953713	537927593
13560	1271926705	35	913	0x20101bcb	4294955572	537926603
13590	1271932844	100	795	0x200ec5b1	91822	537839025
13620	1271938681	8	743	0x200f8763	13374	537888611
13650	1271944854	99	998	0x200fcd54	4294940206	537906516
13680	1271950724	35	786	0x1f02f584	17627265	520287620
13710	1271956800	7	774	0x200e91e1	96053	537825761
13740	1271962719	92	809	0x200fa0db	8487	537895131
13770	1271968593	29	725	0x200fc8f0	4294956473	537905392
13800	1271974628	58	887	0x200fbd72	4294950640	537902450
13830	1271980732	84	888	0x200e747b	107921	537818235
13860	1271986682	96	833	0x200f6cb0	4277364201	537881776
13890	1271992493	39	755	0x200f6502	2329	537879810
13920	1271998486	69	994	0x200f4da7	3819	537873831
13950	1272004313	55	646	0x200fb472	4284103936	537900146
13980	1272010422	80	892	0x201015f6	4294945706	537925110
14010	1272016455	16	810	0x200edd5d	70718	537845085
14040	1272022368	42	824	0x200f831c	1401	537887516
14070	1272028385	42	803	0x200fc3c5	4294939549	537904069
