nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
10980	1270316049	-26	-880	0x0e017b1d	16923	234978077
11010	1270319139	-57	-806	0x0e01336c	11581	234959724
11040	1270322051	-19	-787	0x0e00f24e	9779	234943054
11070	1270325472	-78	-780	0x0e00d176	3835	234934646
11100	1270328631	-99	-770	0x0e00a764	5588	234923876
11130	1270331505	-43	-834	0x0e008487	5183	234914951
11160	1270334475	-94	-933	0x0d6963cf	924980	225010639
11190	1270337552	-42	-926	0x0d553b50	675330	223689552
11220	1270340486	-44	-932	0x0d435fcc	577223	222519244
11250	1270343793	-69	-659	0x0d375266	326070	221729382
11280	1270346833	-12	-651	0x0d2c07e5	420044	220989413
11310	1270350162	-44	-780	0x0d24f8ff	267595	220526847
11340	1270353030	-88	-1028	0x0d1d6261	318685	220029537
11370	1270356250	-61	-623	0x0d17e17c	161580	219668860
11400	1270358862	-9	-1081	0x0d1234e1	229833	219296993
11430	1270361937	0	-723	0x0d0e3d33	137388	219036979
11460	1270364719	-28	-1067	0x0d0b3c19	126208	218840089
11490	1270367687	-72	-922	0x0d08dc60	83539	218684512
11520	1270370417	-100	-925	0x0d06d13b	75544	218550587
11550	1270373443	-60	-970	0x0d05839c	43737	218465180
11580	1270376781	-32	-795	0x0d04805b	34024	218398811
11610	1270380037	-66	-648	0x0d03bd1b	25863	218348827
11640	1270383116	-24	-728	0x0d0306bd	25757	218302141
11670	1270386259	-65	-869	0x0d027a3c	20907	218266172
11700	1270389330	-56	-723	0x0d01fba4	15046	218233764
11730	1270392200	-42	-1021	0x0d0196bb	14529	218207931
11760	1270394915	-66	-1120	0x0d013990	12030	218184080
11790	1270397924	-55	-783	0x0d00f11f	9611	218165535
11820	1270400815	-47	-840	0x0d00be24	7597	218152484
11850	1270403746	-95	-954	0x0d009873	4976	218142835
11880	1270406687	-24	-828	0x0c768d70	9042432	209096048
11910	1270409700	-18	-688	0x0c5de404	799568	207479812
11940	1270412623	-8	-875	0x0c4af2f0	692400	206238448
11970	1270415652	0	-759	0x0c3ad1e5	507400	205181413
12000	1270418663	-15	-872	0x0c2fe0e7	351507	204464359
12030	1270421847	-53	-807	0x0c27925d	236765	203919965
12060	1270424446	-100	-966	0x0c1d4200	382913	203244032
12090	1270427665	-65	-706	0x0c17d067	190919	202887271
12120	1270430701	-78	-848	0x0c13bd53	128554	202620243
12150	1270433651	-24	-915	0x0c0f4483	148657	202327171
12180	1270436706	-85	-867	0x0c0c2532	118994	202122546
12210	1270439595	-5	-1042	0x0c09b53b	94055	201962811
12240	1270442644	-90	-860	0x0c07bfe4	61011	201834468
12270	1270445494	-45	-957	0x0c0602f3	66183	201720563
12300	1270448523	-93	-744	0x0c04b6dc	45518	201635548
12330	1270451588	-10	-744	0x0c03de75	29861	201580149
12360	1270454483	-96	-937	0x0c0311e3	26190	201527779
12390	1270457601	-76	-775	0x0c026e15	20677	201485845
12420	1270460958	-13	-528	0x0c020c04	9953	201460740
12450	1270464032	-42	-860	0x0c01afb9	12906	201437113
12480	1270466736	-60	-1016	0x0c01472e	14696	201410350
12510	1270469812	-96	-842	0x0c010512	9077	201393426
12540	1270472620	-10	-830	0x0c00c7a7	9078	201377703
12570	1270475703	-18	-917	0x0c00a3e8	4833	201368552
12600	1270478508	-63	-883	0x0b7cbcc5	8640115	192724165
12630	1270481555	-49	-837	0x0b65b2b8	836827	191214264
12660	1270484673	-87	-891	0x0b52bdca	673333	189971914
12690	1270487603	-85	-810	0x0b4041d9	685339	188760537
12720	1270490827	-60	-706	0x0b353e49	370611	188038729
12750	1270493711	-43	-867	0x0b298cc6	435543	187272390
12780	1270496699	-72	-929	0x0b21578c	302690	186734476
12810	1270499656	-41	-805	0x0b1a2f4a	244548	186265418
12840	1270502501	-91	-830	0x0b147e7c	216668	185892476
12870	1270505493	-7	-782	0x0b101a8a	170188	185604746
12900	1270508832	-40	-643	0x0b0d4611	104054	185419281
12930	1270511696	-90	-943	0x0b0ac868	104973	185256040
12960	1270514550	-74	-827	0x0b085a70	81047	185096816
12990	1270517492	-66	-726	0x0b066cb7	70628	184970423
13020	1270520326	-35	-921	0x0b051d3c	54756	184884540
13050	1270523739	-47	-664	0x0b044e11	23988	184831505
13080	1270526675	-63	-898	0x0b036983	33335	184772995
13110	1270529435	-84	-1039	0x0b02a93f	28426	184723775
13140	1270532515	-22	-851	0x0b02181c	20427	184686620
13170	1270535419	-97	-921	0x0b01aca1	15637	184659105
13200	1270538482	-48	-876	0x0b015873	10887	184637555
13230	1270541433	-62	-889	0x0b0113a7	8695	184619943
13260	1270544581	-20	-726	0x0b00daf2	6797	184605426
13290	1270547472	-3	-805	0x0b00aa08	7559	184592904
13320	1270550556	-17	-851	0x0b008b57	4053	184585047
13350	1270553599	-21	-821	0x0a7041ea	877024	175129066
13380	1270556486	-53	-813	0x0a57773d	851671	173504317
13410	1270559329	-98	-1003	0x0a461437	587496	172364855
13440	1270562140	-75	-1111	0x0a362059	532833	171319385
13470	1270565010	-35	-863	0x0a28a17e	436862	170434942
13500	1270568131	-24	-648	0x0a2123d2	255395	169944018
13530	1270571251	-73	-936	0x0a1b7f41	208134	169574209
13560	1270574609	-7	-505	0x0a161f1b	164078	169221915
13590	1270577647	-27	-840	0x0a120858	159084	168953944
13620	1270580567	-96	-980	0x0a0e930f	124278	168727311
13650	1270583543	-83	-997	0x0a0b7f75	113744	168525685
13680	1270586355	-93	-950	0x0a0912e4	78929	168366820
13710	1270589531	-54	-715	0x0a0718be	58936	168237246
13740	1270592650	-18	-811	0x0a05d485	49279	168154245
13770	1270595582	-84	-774	0x0a049a23	45324	168073763
13800	1270598974	-50	-640	0x0a03d368	28125	168022888
13830	1270602165	-53	-820	0x0a033ded	23311	167984621
13860	1270605162	-36	-783	0x0a0285ec	25948	167937516
13890	1270608072	-63	-773	0x0a02014c	20112	167903564
13920	1270611141	0	-715	0x0a0196d7	14996	167876311
13950	1270613975	-70	-711	0x0a013f4a	13287	167853898
13980	1270617090	-90	-800	0x0a010718	7419	167839512
14010	1270620165	-56	-815	0x0a00d1dd	7249	167825885
14040	1270623354	-44	-794	0x0a00abd9	5219	167816153
